,name,link,min_money,max_money,value,site
43,Главный специалист/инженер-проектировщик КИПиА,https://hh.ru/vacancy/47333476?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,115000.0,,руб.,https://www.hh.ru/search/vacancy
44,Ведущий инженер-проектировщик АСУ ТП,https://hh.ru/vacancy/47333525?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,100000.0,,руб.,https://www.hh.ru/search/vacancy
45,Инженер-проектировщик 1 категории АСУ ТП,https://hh.ru/vacancy/47333504?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,70000.0,,руб.,https://www.hh.ru/search/vacancy
46,Инженер-проектировщик группы релейной защиты и автоматики,https://hh.ru/vacancy/42438242?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
47,Ведущий инженер-проектировщик группы релейной защиты и автоматики,https://hh.ru/vacancy/45805781?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
48,Заместитель директора филиала по строительству объектов энергоблока в Народной Республике Бангладеш,https://hh.ru/vacancy/45372540?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
49,Главный специалист-проектировщик релейной защиты и автоматики,https://hh.ru/vacancy/45910996?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,110000.0,,руб.,https://www.hh.ru/search/vacancy
50,Главный специалист строительного отдела/Конструктор,https://hh.ru/vacancy/45805630?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,150000,руб.,https://www.hh.ru/search/vacancy
51,Инженер 1 категории строительного отдела/конструктор,https://hh.ru/vacancy/41761867?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,70000.0,,руб.,https://www.hh.ru/search/vacancy
52,Монтажник технологических трубопроводов,https://hh.ru/vacancy/49097974?from=vacancy_search_list&query=%D0%A2%D0%B5%D0%BF%D0%BB%D0%BE%D1%8D%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D0%BA,,,,https://www.hh.ru/search/vacancy
